album	artist	genre	release_date	critic	score	body
Cosy Moments	Kinski	Pop/Rock	2013-04-02 00:00:00	PopMatters	59.0	The first half of Cosy Moments may pale placed next to Alpine Static, but for those who may be put off by that album’s sprawl and punch, Cosy Moments prolongs the slightly gentler, less fuzzy nature of this restless sonic beast.
Blood for the Master	Goatwhore	Pop/Rock	2012-02-14 00:00:00	PopMatters	61.0	Blood for the Master represents Goatwhore reverting back to their less-than-great death/thrash sonic territory, which is good for a quick listen, but not much more.
I Am Not Afraid Of You And I Will Beat Your Ass	Yo La Tengo	Indie	2006-09-12 00:00:00	Magnet	85.0	This return to form annotates the band's last 22 years rather nicely. [#73, p.110]
Fragrant World	Yeasayer	Pop/Rock	2012-08-21 00:00:00	Pitchfork	71.0	Fragrant World is curiously thin.
Cee-Lo Green Is The Soul Machine	Cee Lo Green	Rap	2004-03-02 00:00:00	The Guardian	86.0	A gleefully non-conformist delight.
Sea Of Cowards	The Dead Weather	Rock	2010-05-11 00:00:00	PopMatters	70.0	On Sea of Cowards, they’ve made an album that manages to sound like they give a damn about not giving a damn, and one that’s pretty compelling, more often than not.
Beauty & Ruin	Bob Mould	Pop/Rock	2014-06-03 00:00:00	The A.V. Club	76.0	On Beauty & Ruin, second chances aren’t taken for granted--they’re embraced with unfettered ferocity and humble grace.
Corinne Bailey Rae	Corinne Bailey Rae	Rock	2006-06-20 00:00:00	PopMatters	69.0	After such a promising start, Bailey Rae and her stable of producers simply lose momentum.
Paul Walker	Drug Church	Pop/Rock	2013-07-23 00:00:00	Punknews.org (Staff)	75.0	Paul Walker is painfully realistic, openly grim and socially unconscious, expressing a worldview that really, only Kindlon seems comfortable expressing in our scene.
Reality Killed The Video Star	Robbie Williams	Rock	2009-11-17 00:00:00	Hot Press	64.0	Millennial ‘It’ Boy gets the horn on eighth album.
Out of Touch, In the Wild	Dutch Uncles	Pop/Rock	2013-04-02 00:00:00	Blurt Magazine	74.0	The rock vibe of past records is all but gone but not completely as the final song, “Brio” smokes along.
Surfing the Void	Klaxons	Pop/Rock	2010-08-23 00:00:00	Sputnikmusic	68.0	In defence of Surfing the Void, it's certainly not an album I'd describe as 'bad' per se--it's just a massive disappointment.
The Delivery Man	Elvis Costello	Rock	2004-09-21 00:00:00	The A.V. Club	71.0	The Delivery Man only sparks to life when it slows down.
Shaking the Habitual	The Knife	Electronic	2013-04-09 00:00:00	PopMatters	85.0	The Knife has created a work of art that’s not just a dream waiting to be realized, but a living, breathing reality that’s waking you up to what’s possible in the wildest of imaginations.
Steam Days	Nathan Fake	Electronic	2012-08-27 00:00:00	The Observer (UK)	67.0	Midway through Steam Days, Harnser does dark pizzicato things befitting a 90s warehouse rave, while elsewhere, the analogue-melting-into-digital influence of Four Tet is palpable.
Set Free	American Analog Set	Indie	2005-09-20 00:00:00	The A.V. Club	72.0	For existing fans, they'll either be happy to hear another assured rehash of the band's classic sound, or disappointed that it's just a rehash.
Settle	Disclosure	Electronic	2013-06-04 00:00:00	Billboard.com	81.0	The brothers have tapped into the amorphous joy at the heart of dance music, and have peppered Settle's masterfully executed tracks with that feeling.
Bending the Dark	The Imagined Village	Folk	2012-05-14 00:00:00	Q Magazine	69.0	Things often get a bit messy, the meandering 12-minute title track with its extended percussion battle being the most jarring example. [Jun 2012, p.104]
Sirens of the Ditch	Jason Isbell	Rock	2007-07-10 00:00:00	Paste Magazine	78.0	Isbell shines most when he’s not channeling; tracks like 'Chicago Promenade,' 'Shotgun Wedding' and tasteful protest ballad 'Dress Blues' (which smartly chooses empathy over proselytizing) find his sound evolving into an alternately rocked-up and quietly satisfying maturity.
TP.3 Reloaded	R. Kelly	Pop	2005-07-05 00:00:00	BreeT	60.0	Its an awsome album, R.Kelly is still the best, n&#039; he&#039;s real, Love U R.
I'm New Here	Gil Scott-Heron	Rap	2010-02-09 00:00:00	Prefix Magazine	78.0	In short, I'm New Here is the perfect comeback album, deploying modern production in the service of timeless songcraft and personal vision.
Quality Street Music	DJ Drama	Rap	2012-10-02 00:00:00	HipHopDX	62.0	His involvement in the actual song-making process may be limited, but his ear for the finished product shouldn't be understated.
The  Power Within	DragonForce	Pop/Rock	2012-04-17 00:00:00	AlexxTrusc	74.0	"DragonForce has gained huge popularity mainly through the Guitar Hero game series - where they had lent one of their songs: ""Through The FireDragonForce has gained huge popularity mainly through the Guitar Hero game series - where they had lent one of their songs: ""Through The Fire And Flames"" which thus became the hit number of the British band. The latest album ""The Power Within"" is the fifth and probably the best release, in which the band still regales listeners with a very decent dose of power metal - as seen for example in ""Holding On"" or ""Last Man Stands"". However, the greatest advantage and yet change is certainly the presence of a new singer - Mark Hudson, who has a much better vocal range.&hellip;Full Review &raquo;"
The Inspiration	Young Jeezy	Rap	2006-12-12 00:00:00	JohnDoe	70.0	I think that this cd is rockin all cars,houses and clubs. It dont matter what song on his cd i can relate to it cuz what he is saying on anyI think that this cd is rockin all cars,houses and clubs. It dont matter what song on his cd i can relate to it cuz what he is saying on any song is real.I think he is a mastermind at punchlines 2. The beats r a bump u b rockin ya head to i say atleast, 13/16 songs.If yall think jeezy sucks then go cop the album, listen to it, then u try to make a cd were the people of the USA be feelin 16/16 songs.&hellip;Full Review &raquo;
You Could Have It So Much Better	Franz Ferdinand	Indie	2005-10-04 00:00:00	Prefix Magazine	83.0	The album is just as solid as Franz Ferdinand’s 2004 eponymous debut, and it shows that the group clearly knows its sound -- maybe a little too well.
Transparent Things	Fujiya & Miyagi	Indie	2007-01-23 00:00:00	Spin	79.0	This is dance music downsized for iPods but also indie rock expanded for the dance floor. [Jan 2007, p.89]
New Blood	Peter Gabriel	Pop/Rock	2011-10-11 00:00:00	Prefix Magazine	70.0	Sure, the albums is filled with grand, sweeping sonic statements, but they seem to come from a place in extremely close proximity to the art-rock icon's heart. That's why it works.
Veckatimest	Grizzly Bear	Indie	2009-05-26 00:00:00	Lost At Sea	85.0	While Veckatimest contains just over fifty-two minutes of some exceptional music, it lacks one critical component that's essential to any form of art: emotion.
Ones and Sixes	Low	Pop/Rock	2015-09-11 00:00:00	musicOMH.com	78.0	It is arguable that Ones And Sixes is their most fully integrated album to date--a richly satisfying and coherent work drawing together many of the different strands of their career so far.
Mt. St. Helens Vietnam Band	Mt. St. Helens Vietnam Band	Indie	2009-03-10 00:00:00	Alternative Press	64.0	The chops are there, the gimmck is there, and hopefully, the fanbase will be there, too. [Apr 2009, p.135]
Forever	Painted Palms	Pop/Rock	2014-01-14 00:00:00	Uncut	65.0	They might've allowed the collage more space to breathe, for the bandwidth is densely layered to bursting with blissed-out sampling; but the rapture makes it churlish to complain. [Feb 2014, p.80]
L.A.X.	The Game	Rap	2008-08-26 00:00:00	Urb	65.0	The Game pairs that unabashed love with swirling ideas and concepts that elevate the record to an easy contender for album of the year.
12 Memories	Travis	Rock	2003-10-14 00:00:00	unknown2000	64.0	travis is always great band!!!!!!!!!!! it's shame that they are not known like coldplay or radiohead but the actually they're of free bandstravis is always great band!!!!!!!!!!! it's shame that they are not known like coldplay or radiohead but the actually they're of free bands who prefer artistry rather than sales and fame..........&hellip;Full Review &raquo;
Twins	Ty Segall	Pop/Rock	2012-10-09 00:00:00	CMJ	80.0	The album, however, cannot shake off the feeling that it's a melting pot of Segall's previous albums from this year.
Settle	Disclosure	Electronic	2013-06-04 00:00:00	CMJ	81.0	Nothing on Settle is left wanting. Disclosure’s debut full-length, after a series of tight and well-curated EPs, has high points as high as any record this year.
Himalayan	Band of Skulls	Pop/Rock	2014-04-01 00:00:00	musicOMH.com	70.0	They’ve certainly aimed for the mountaintops with Himalayan and quite often they reach the summit.
Nervous	Siskiyou	Pop/Rock	2015-01-20 00:00:00	musicOMH.com	78.0	Much of Nervous is a little heavy for what is, on the surface at least, a gentle, lilting folk inflected album. However, there are moments of utter joyfulness to be found.
New Amerykah Part Two: Return of the Ankh	Erykah Badu	R&B;	2010-03-30 00:00:00	No Ripcord	83.0	This isn’t political, but it is personal, comical, sad, satirical, intelligent and refreshingly honest.
Year Zero	Nine Inch Nails	Rock	2007-04-17 00:00:00	Slant Magazine	76.0	Reznor seems to eschew depth for surface explosions and instant gratification, and the result is a finished product that, while decent on an individual track, doesn't hold up as Year Zero progresses.
Let There Be Morning	The Perishers	Indie	2005-04-12 00:00:00	Entertainment Weekly	65.0	A lovely twilight trip. [15 Apr 2005, p.77]
Pyramids	Pyramids	Rock	2008-04-22 00:00:00	PopMatters	69.0	Pyramids’ very impressive debut treads the fine line between otherworldly beauty and sheer unadulterated noise, its loveliest soundscapes blotted by feedback and distortion, its most aggressively ugly rampages pierced by unexpected intervals of tranquility.
Battle Studies	John Mayer	Rock	2009-11-17 00:00:00	Hartford Courant	64.0	His vocals here are mostly murmurs, and the musical accompaniment, though skillful throughout, lacks the punch of his previous albums.
On	Imperial Teen	Rock	2002-04-09 00:00:00	meta4ia	77.0	One of my favorite records of all time.  It didnt start out that way.  Dont get me wrong, I liked it a lot right from the start.  But over theOne of my favorite records of all time.  It didnt start out that way.  Dont get me wrong, I liked it a lot right from the start.  But over the years I keep coming back to it.  Imperial Teen are amazing, absolutely brilliant Pop Rock artists.  They prove that being smart and having great taste is far more important than being an instrumental virtuoso.  I love this record and this band.&hellip;Full Review &raquo;
Galapagos	Post War Years	Pop/Rock	2013-02-25 00:00:00	New Musical Express (NME)	63.0	It’s all nicely polished, but there’s nothing underneath.
Advance Base Battery Life	Casiotone For The Painfully Alone	Indie	2009-03-10 00:00:00	Under The Radar	71.0	Advance Base Battery Life finds all the signature CFTPA attributes in display with the usual blankets of ambient electronics, tinny drum machines, a few synthetic strings, and Ashworth's genius monotone lyrical narratives about breakups, laundry mats, and just about every other mudane subject only Ashworth can make interesting. [Spring 2009, p.70]
Sticks + Stones	Cher Lloyd	Pop/Rock	2012-10-02 00:00:00	AllMusic	51.0	There are times throughout its ten tracks when Lloyd does appear to be testing the patience of even her most ardent fans.
Made in California [Box Set]	The Beach Boys	Pop	2013-08-27 00:00:00	Uncut	86.0	"Some of their most startling material has always been found down the back of the sofa, among such relatively unconsidered trifles as ""In The Back Of My Mind"" and ""Angel Come Home."" [Oct 2013, p.82]"
I Speak Because I Can	Laura Marling	Rock	2010-04-06 00:00:00	GabroMuzik	81.0	This review contains spoilers, click full review link to view.the folk and pop perfection of this year is Laura Marling...her incredible and amazing new album...shine...she is so talent and her voice is really beautiful...! this album is a masterpiece!&hellip;Full Review &raquo;
She Has No Strings Apollo	Dirty Three	Indie	2003-02-18 00:00:00	Splendid	79.0	She Has No Strings Apollo is, if anything, a portrait of one of the most passionate bands you'll ever hear, at a time when they've fine-tuned their improvisational telepathy.
Son Of Evil Reindeer	The Reindeer Section	Indie	2002-08-13 00:00:00	Rolling Stone	71.0	Most of the collaborators turn up only as backup vocalists or orchestra members, enabling Lightbody's heartbreaking ballads and sublime baritone to soar.
Back On My B.S.	Busta Rhymes	Rap	2009-05-19 00:00:00	Mojo	60.0	"His sometimes unkempt vocal performances can work better in the smaller doses of singles or cameos, but here, as on 2006's ""The Big Bang,"" he sounds like he has made the album his metier. [Jul 2009, p.98]"
Reanimation	Linkin Park	Rock	2002-07-30 00:00:00	Blender	60.0	Linkin gain from their hip-hop daring, and the dance domos get to wedge a foot in the crossover door. [#9, p.151]
Chorus	Literature	Pop/Rock	2014-08-19 00:00:00	Under The Radar	70.0	"They're easy to classify, to drop on your ""Sounds Like Sarah Records"" playlist and, thus, a little derivative. But that doesn't stop them from being a fun time."
Nothing's Gonna Change the Way You Feel About Me Now	Justin Townes Earle	Pop/Rock	2012-03-26 00:00:00	Consequence of Sound	72.0	It's a watered-down Earle, perhaps more than we'd expect, but it works.
Together	The New Pornographers	Rock	2010-05-04 00:00:00	musicOMH.com	71.0	Together is certainly far-reaching in its ambitions, and it often seems close to collapsing under the combined weight of all its collaborators, but it never falters, despite its dangerous dance. The New Pornographers have taken a risk in fussing with their sound, but in large part it's paid off beautifully.
Alpinisms	School of Seven Bells	Rock	2008-10-28 00:00:00	Spin	70.0	Alpinisms' sweeping, ethereal pop owes a stylistic debt to My Bloody Valentine and the Cocteau Twins, but the debut album by former Secret Machines guitarist Ben Curtis' new project reveals a range of influences and a sophisticated approach to arrangement that sets the trio well apart from less imaginative latter-day shoegazers.
Sunny Border Blue	Kristin Hersh	Indie	2001-03-06 00:00:00	Sonicnet	81.0	It contains some of the most affecting work she's ever created, exploring the power of songs stripped to their essence, and the juxtaposition of delicate melodies with the explosive emotions conveyed by her lyrics.
Within and Without	Washed Out	Pop/Rock	2011-07-12 00:00:00	Pitchfork	70.0	Within and Without is an excellent demonstration of what happens when, even after the buzz-band cycle has faded, you continue to investigate a sound on your own hushed, ambitious terms.
Days	Real Estate	Pop/Rock	2011-10-18 00:00:00	Pitchfork	77.0	Real Estate have such a knack for classic-sounding melody that every song quickly engages on a musical gut level.
Lust Lust Lust	The Raveonettes	Rock	2008-02-19 00:00:00	LiquidHeaven	72.0	Perhaps too early to say for certain but after a month with it I&#039;d call this their best album. It is certainly their most accomplished.
Diploid Love	Brody Dalle	Pop/Rock	2014-04-29 00:00:00	The Line of Best Fit	72.0	Dalle sounds as if she’s on autopilot for much of Diploid Love; she’s obviously got talent to spare, but she’ll need to provide herself with a sterner challenge than she has here if she’s to truly capitalise on it.
Songs For Christmas	Sufjan Stevens	Indie	2006-11-21 00:00:00	Q Magazine	80.0	The good news is Songs For Christmas isn't the self-indulgent folly it may appear. [Jan 2007, p.152]
Cope	Manchester Orchestra	Pop/Rock	2014-04-01 00:00:00	v208	70.0	"If you are looking for an album to blast while working out or preparing to battle to the death then this is the album for you. Atlanta rockersIf you are looking for an album to blast while working out or preparing to battle to the death then this is the album for you. Atlanta rockers Manchester Orchestra return with their 4th full length album and there is no surprise here, it is awesome.Layered guitar tracks smash through every track with unquestionable authority while Andy Hull's voice/beard leads the charge with never ending vigor. This album may lack the soft and desperately pleading melodies from Virgin, the complexity and personal depth of METN, and the hauntingly beautiful crescendo of children's choruses and orchestral string sections of Simple Math....but it makes up for all of that by melting your **** face off. Is it the same album as previous full length records? Absolutely not, and why would you want the same record again. Cope is not a creative flowering of a band maturing... It is a straightforwaed, wild, and unrelenting statement of ""we do whatever we want"".Make no mistake, Manchester Orchestra is fully capable of bringing the strengths and successes of the other albums back in full force whenever they so choose- the beauty of recording on your own label is that nobody forces you to make that ""next album"" a certain way.Cope has no master, certainly not the likes of you.&hellip;Full Review &raquo;"
The Holy Pictures	David Holmes	Rock	2008-09-08 00:00:00	musicOMH.com	79.0	Add in the highly personal genesis of its composition, easily audible in both lyrics and melodies, and the listener's satisfaction is complete.
Who Kill	tUnE-yArDs	Pop/Rock	2011-04-19 00:00:00	Under The Radar	86.0	It's truly peerless music. And though Garbus sometimes teeters on the brink of musical bombast, her imagination propels it all forward while avoiding the quicksand of self-indulgence.
Jacksonville City Nights	Ryan Adams	Indie	2005-09-27 00:00:00	cokemachineglow	72.0	There’s a lot of filler here, even for Ryan.
Information Retrieved	Pinback	Pop/Rock	2012-10-16 00:00:00	PopMatters	72.0	For an album of such wide-open sounds and ideas, Information Retrieved has a true knack for living in, and succeeding on, the smallest of details.
Business Casual	Chromeo	Electronic	2010-09-14 00:00:00	The Boston Phoenix	68.0	Their signature '80s homage is consistent across their songwriting, lyrics, album covers, and design - even their videos. And despite their claims to the contrary, the duo have enough self-aware irony to rise above the level of a throwback novelty act or a one-trick nostalgia pony.
Rendezvous	Luna	Indie	2004-10-26 00:00:00	Tiny Mix Tapes	74.0	A relaxed, tender record with enough grace, humor, and intelligence mixed at just the right moments with heady rushes of musical energy that one is left captivated.
Low Country Blues	Gregg Allman	Pop/Rock	2011-01-18 00:00:00	Mojo	76.0	The southern legend's first solo outing in 14 years. [Feb. 2011, p. 108]
Transfiguration Of Vincent	M. Ward	Indie	2003-03-18 00:00:00	BenK	82.0	This is the sort of music a pensive coyboy would play.
Mechanical Bull	Kings of Leon	Pop/Rock	2013-09-24 00:00:00	Filter	70.0	Though they may have felt immense pressure to replicate the monster hits that have come to be expected of them, the band have struck proper middle ground between the jaggedy, bluesy Southern rock of their early years with more polished commercial anthems.
Before Today	Ariel Pink's Haunted Graffiti	Indie	2010-06-08 00:00:00	Dusted Magazine	85.0	Before Today accomplishes exactly the same thing all his other good records do, so I’m not sure it does much for me that, say, House Arrest didn’t. Nonetheless, it’s still one of his better records--there are some excellent pop songs here, and it’s a good place to start for listeners who are unfamiliar with Pink’s bizarre schtick.
Owl Splinters	Deaf Center	Electronic	2011-02-14 00:00:00	PopMatters	74.0	Owl Splinters has the veiled optimism of an overcast sky with just enough clear areas to allow rays of sun to shine through; it brings the duo's cacophonous fusion of horror and romance to its most fully realized incarnation yet.
Enemy/Lover	Dreamers of the Ghetto	Pop/Rock	2011-10-04 00:00:00	Blurt Magazine	63.0	This may be as good as it gets for Dreamers of the Ghetto, and it's really just fair.
Mr. Beast	Mogwai	Indie	2006-03-07 00:00:00	Slant Magazine	74.0	Simplicity doesn't make Mr. Beast unpleasant, just dumb.
Live!	Luna	Rock	2001-02-06 00:00:00	Splendid	75.0	Wine drinkers' music, you might say -- likeable, pleasant, but lacking in consuming, driving passion.
Limbo	Eric Copeland	Pop/Rock	2012-07-24 00:00:00	Pitchfork	82.0	It's best to turn off those imaginary filters when you pump Limbo, and just let it be as entertaining as it clearly wants to be.
Finding Forever	Common	Rap	2007-07-31 00:00:00	Entertainment Weekly	73.0	The album is both lush and gritty, integrating awkwardly hacked samples, rowdy percussion, and sweet backing vocals. [03 Aug 2007, p.67]
America	Dan Deacon	Electronic	2012-08-28 00:00:00	Clash Music	82.0	It's unfathomably exciting stuff.
All That I Am	Santana	Rock	2005-11-01 00:00:00	Los Angeles Times	45.0	"It's the hip-hop energy Mary J. Blige and OutKast's Big Boi bring to ""My Man"" that makes the most of the assembled talent by relying on musical inspiration rather than marquee power. [30 Oct 2005]"
Tape Deck Heart	Frank Turner	Pop/Rock	2013-04-23 00:00:00	Punknews.org (Staff)	76.0	"Unfortunately, Tape Deck Heart is not his strongest offering as a whole, but it features a number of fantastic tracks that could conceivably be ""hits"" and will surely become live staples."
All Fall Down	Shawn Colvin	Folk	2012-06-05 00:00:00	Austin Chronicle	72.0	"It's a far cry from the fighting optimism of ""Sunny Came Home"" but Shawn Colvin still writes with fearless honesty and genuine insight."
Weirdon	Purling Hiss	Pop/Rock	2014-09-23 00:00:00	CMJ	76.0	Weirdon is stacked with some hefty singles guaranteed to bring this band to an even wider audience, and it succeeds because it ups the ante in terms of songcraft and production, but never at the cost of the weirdness.
Expo 86	Wolf Parade	Rock	2010-06-29 00:00:00	Delusions of Adequacy	75.0	Expo 86 is a brilliant reinforcement of what occurs when true chemistry exists in a band.
Under Color of Official Right	Protomartyr	Pop/Rock	2014-04-08 00:00:00	Q Magazine	83.0	More varied stylistically, it offers a powerful reflection of the band's consistently bleak worldview. [May 2014, p.116]
Queen of the Clouds	Tove Lo	Electronic	2014-09-30 00:00:00	AllMusic	73.0	By owning her mistakes, she turns them into strengths--and delivers a winning first album in the process.
Horehound	The Dead Weather	Rock	2009-07-14 00:00:00	Ricko	75.0	"Some good Rock on here to be fair but also some average stuff. Some of it not so good. Like most ""Super Groups"" you'd be much better offSome good Rock on here to be fair but also some average stuff. Some of it not so good. Like most ""Super Groups"" you'd be much better off listening to any of the members ""mother"" bands though.&hellip;Full Review &raquo;"
How About I Be Me (And You Be You)?	Sinéad O'Connor	Pop/Rock	2012-02-21 00:00:00	The A.V. Club	75.0	It's the 45-year-old singer's most accomplished album in ages, for sure, though it might also be her straightest.
Mirrored	Battles	Indie	2007-05-22 00:00:00	Mojo	86.0	Mirrored explodes with twisting grooves and obtuse angles. [Jun 2007, p.102]
Split The Difference	Gomez	Rock	2004-05-18 00:00:00	Magnet	71.0	By stripping away the symphonic, avant edge... [Gomez] loses much of what made it unique in the first place. [#64, p.96]
Spring Tides	Jeniferever	Indie	2009-04-14 00:00:00	New Musical Express (NME)	67.0	Pretty, but all too forgettable.
Still Not Getting Any	Simple Plan	Rock	2004-10-26 00:00:00	Skydog	66.0	All these 2004-2008 trolls made this album such a low rating when in reality their metal band or whatever kind of music those trolls listen toAll these 2004-2008 trolls made this album such a low rating when in reality their metal band or whatever kind of music those trolls listen to (reggae? how lame...) can't even perform their music live, UNLIKE simple plan.Anywhoo, this album was awesome. The songs are legendary for simple plan on this album, and actually i prefer this album to No Pads.&hellip;Full Review &raquo;
Cancer4Cure	El-P	Rap	2012-05-22 00:00:00	AllMusic	84.0	Cancer4Cure is about hip-hop like Glengarry Glen Ross was about sales, but these great works transcend their industries, offering solace and inspiration to anyone who would prefer a satisfied mind over a Cadillac Eldorado, or in current terms, an Escalade.
Father Divine	Mike Ladd	Indie	2005-11-15 00:00:00	AllMusic	69.0	Overall Ladd has made a divine album indeed.
Talk To La Bomb	Brazilian Girls	Rock	2006-09-12 00:00:00	PopMatters	71.0	It has, in one fell swoop, dismissed any doubts about the band’s legitimacy, while offering a nearly solid 12 tracks of sex, rhythms and mystery.
T.I. Vs T.I.P.	T.I.	Rap	2007-07-03 00:00:00	NOW Magazine	61.0	T.I. vs T.I.P. suffers from its star's inability to commit to character.
Once Again	John Legend	R&B;	2006-10-24 00:00:00	Slant Magazine	77.0	Like its predecessor, Once Again's midsection bulges with excess MOR fat, but unlike Legend's debut, the album doesn't resurrect itself by the end.
Strange Dreams	Alex Calder	Pop/Rock	2015-01-19 00:00:00	NOW Magazine	67.0	At times his vocals sound too distant in the mix and overpowered by guitars (No Device), but singing any more forcefully would undermine the peculiar comfort that most of the record maintains.
Reanimation	Linkin Park	Rock	2002-07-30 00:00:00	CDNow	60.0	As on Hybrid Theory, there's a definite formula at work in all 19 songs, but it's flawless and effective.
Silver & Gold [Boxset]	Sufjan Stevens	Folk	2012-11-13 00:00:00	The Guardian	76.0	So much, in other words, that wading through it feels as much of a chore as a joy.
Supermodel	Foster the People	Pop/Rock	2014-03-18 00:00:00	The New York Times	58.0	[An] album, which is comfortingly straightforward, despite Mr. Foster’s jagged sentiments.
In A Cave	Elf Power	Indie	2008-03-25 00:00:00	Drowned In Sound	65.0	The production is sublime, every beat and note fully realised in glorious colour. The songs, however, sound tired, and despite determined efforts to sound upbeat and jaunty, they end in a slump of indie-pop lethargy.
Start Something	Lostprophets	Rock	2004-02-03 00:00:00	Splendid	70.0	This is one of the breeziest, catchiest discs I've heard in a while.
The Hawk Is Howling	Mogwai	Rock	2008-09-23 00:00:00	Village Voice	76.0	It's a page out of Mogwai grandchildren Ratatat's playbook, and it shows these Scots doing something we haven't seen them do in a while: evolve.
Fair Ain't Fair	Tim Fite	Indie	2008-05-06 00:00:00	Alternative Press	77.0	The result captures him turning into an old-fashioned troubadour, one fueled by big issues and a country/hip-hop hybrid that's never sounded catchier. [June 2008, p.131
Centralia	Mountains	Electronic	2013-01-22 00:00:00	AllMusic	83.0	Much like the best of Eno's ambient work, Centralia is captivating without demanding attention, instead letting the listener wander into its web on their own.
Repave	Volcano Choir	Pop/Rock	2013-09-03 00:00:00	Slant Magazine	77.0	It's an abstract and occasionally disjointed album that ultimately finds a rewarding balance, both sonically and lyrically, between the obscure and the deeply personal.
West	Lucinda Williams	Rock	2007-02-13 00:00:00	Hot Press	69.0	West works because it juxtaposes a sense of vulnerability with a desire not to stay down for long, and is tinged with a sense of realism not always present in her rivals.
Heal	Strand of Oaks	Pop/Rock	2014-06-24 00:00:00	Uncut	83.0	Odd--and oddly impressive. [Jul 2014, p.81]
Living Fields	Portico	Electronic	2015-04-07 00:00:00	PopMatters	62.0	These songs are ethereal to a fault, unable to gain a foothold in memory. If Portico continue down this path, they’re liable to become faceless where they were once exhilarating.
What Is This Heart?	How to Dress Well	R&B;	2014-06-24 00:00:00	Drowned In Sound	69.0	There’s no staggering departure from Total Loss, but the backdrop for his soulful R&B; crooning is becoming worn-out, and you can feel Krell auditioning replacements.
Boomslang	Johnny Marr & The Healers	Rock	2003-02-04 00:00:00	E! Online	53.0	"The lyrics aren't ""How Soon Is Now?""-type genius, but they go down easily enough."
Tonight: Franz Ferdinand	Franz Ferdinand	Indie	2009-01-27 00:00:00	PierreB	70.0	This album gets better and better, though its not really inovating it is more musical and less loud then the album before.
Rolling Papers	Wiz Khalifa	Rap	2011-03-29 00:00:00	AllMusic	59.0	Just like any given Bone album, Khalifa's chilled and confused Rolling Papers is an acquired taste, and while it's misrepresented by its single and the mixtapes that surround it, it is purposeful mood music, perfect for bong loading or just hanging out.
Octopus	The Bees [Band of Bees]	Indie	2007-03-26 00:00:00	Playlouder	70.0	Staunch fans won't be disappointed, but it's hard to envisage new ears pricking up on hearing 'Octopus' woeful musings.
Film School	Film School	Indie	2006-01-24 00:00:00	Pitchfork	66.0	At times, Film School achieve a foggy, grandiose psychedelia, but their compositions aren't always as shimmering as their production.
Sempiternal	Bring Me the Horizon	Pop/Rock	2013-04-02 00:00:00	New Musical Express (NME)	81.0	Ready to break noisily out of the underground, the quintet have made one of the year’s most accomplished metal albums.
Pearl Jam	Pearl Jam	Rock	2006-05-02 00:00:00	Entertainment Weekly	74.0	The seriously hopped-up effort fans have been pining for since Vitalogy.
Reincarnate	Motionless in White	Pop/Rock	2014-09-16 00:00:00	Rock Sound	74.0	Motionless In White’s third full-length sees them firming up the sound they settled on with last album ‘Infamous’, but with varying degrees of success.
I'll Be Lightning	Liam Finn	Indie	2008-01-22 00:00:00	musicOMH.com	80.0	Generally, this is a perfect introduction to the talent of Liam Finn - and even at 14 tracks, it never outstays its welcome.
Dos	Wooden Shjips	Indie	2009-04-14 00:00:00	Dusted Magazine	66.0	If you put Dos on, then do something else that demands more of your attention. You’ll feel better about whatever it is that you’re doing. That’s as ringing of an endorsement as I can muster.
Red Letter Days	The Wallflowers	Rock	2002-11-05 00:00:00	Launch.com	63.0	It's a strong effort, probably the kid's best thus far, and Dad should be proud.
1st Born Second	Bilal	Pop	2001-07-17 00:00:00	CDNow	82.0	Sharing with Marvin Gaye and D'Angelo the ability to sing in forceful anger while seducing you with sweet talk, this 22-year-old Philadelphia singer positions himself to become the next great soul man.
Inni [Live]	Sigur Rós	Pop/Rock	2011-11-15 00:00:00	williamplong	78.0	Emotional and brilliant! This live production bring Sigur R&Atilde;&sup3;s back to a simpler time, when the band was just four friends playingEmotional and brilliant! This live production bring Sigur R&Atilde;&sup3;s back to a simpler time, when the band was just four friends playing music...the movie is also a brilliant addition with Vincent Morisset's effects. I love this album!&hellip;Full Review &raquo;
Until The Earth Begins To Part	Broken Records	Indie	2009-07-07 00:00:00	AllMusic	64.0	As far as debut albums go, Until the Earth Begins to Part may not be as important as it thinks it is, but it certainly delivers the promise of greatness.
Melted	Ty Segall	Pop/Rock	2010-05-25 00:00:00	Prefix Magazine	82.0	At times Melted falls into the familiar lo-fi production trap: lack of variety in sound and tempo. However, at its best moments, Melted's songs employ playful riffs and weighty guitars to create textures as varied as the ones in Segall's sweet treat analogy.
Normal Happiness	Robert Pollard	Indie	2006-10-10 00:00:00	The A.V. Club	72.0	Normal Happens is a collection of short, breezy power-pop songs with a lo-fi edge. It's easy to listen to, easy to like.
Summer Sun	Yo La Tengo	Indie	2003-04-08 00:00:00	CultureDose.net	77.0	Summer Sun is full of beautiful melodies that fail to excite for the sole reason that, for the already initiated, it seems like old hat.
Escape From Evil	Lower Dens	Pop/Rock	2015-03-31 00:00:00	Consequence of Sound	78.0	This is good library music, good record-browsing music, good train music, good bus music, good walking music. Or, if you live in LA, good driving music. As long as it’s at night.
Mr. Brown	Sleepy Brown	Rap	2006-10-03 00:00:00	Uncut	59.0	A fairly conservative affair. [Nov 2006, p.101]
The Stimulus Package	Freeway & Jake One	Rap	2010-02-16 00:00:00	Urb	78.0	Even though the “fast forward button” will be needed here and there, The Stimulus Package is still a solid release that is easily the top hip-hop release so far this year.
