id,album,title,score,content
58,72,One Step Forward| Two Steps Back...,0.71,Two years after a fine return to form with their critically lauded Global Flatline| Belgium's death metal machine Aborted returns with another slab of gore soaked technicality. The Necrotic Manifesto is the band's eighth full length album since their formation in 1995 and serves to bridge the gap between blistering fast yet technical death metal and chugging stomps and squeals. If aren't really sure what to expect| then brace yourself for technical| razor sharp guitar riffs| deep throaty| gravelly growls and insanely fast| breakneck drumming| but with some modern touches around the edges.The first few track hearken to the glory days of Aborted| when they played fast and brutal death metal with no frills. After a brief intro| “The Extirpation Agenda” blasts off with abandon featuring fast paced trem picking and precisely blasting drums| going through a variety of tempos| while the album's title track and “An Enumeration of Cadavers” blast away with grinding drums and razor sharp riffing. Despite all of the blasting and technicality| the band finds a way to incorporate the rhythmic chugging of their middle era and some surprisingly melodic lead guitar lines without completely losing their alluring balls out heaviness.By the time you reach the middle of the album| the lazy chugging and squeals begin to overpower the technical style of riffing. The drums stay incredibly proficient| but the guitars just drag the rest of the music down. “Entitlement Means Nothing”| edgy title aside| is one of the worst offenders. The overly modern sound bogs down the music and the band's trademark technical flair is zero. The same with “Coffin Upon Coffin” as the band opts for chug-chug| squeal instead of the razor bladed feistiness we've come to adore. Frankly| after the auditory reaming I received during the first few tracks| it's downright disappointing.If anything| The Necrotic Manifesto could be seen as a mix of the band's tried and true death metal with their chugging dances with deathcore that presented on Strychnine.213 and the somewhat melodic metalcore leanings of The Archaic Abattoir. Don't get me wrong| this is nowhere near the abomination that Strychnine.213 was| but there are traces of the lazy chugs throughout. I really don't get how Aborted can sound so lazy at times and other times just completely have their shit together. Listen to “Excremental Veracity”| with its solid mix of caveman stomps and blistering grind and you'll wonder how the hell the band let things like “Die Verzweiflung” through the cracks.I do have to say| that even with all of the modern frills| it's impressive that vocalist Sven de Caluwé| the only original member left| has kept the band's base sound intact through so many lineup changes. Sure they have been steadily reaching towards a more modern sound but it's still a sound that is decidedly Aborted. While Global Flatline was a step back towards the Aborted of old| I feel like The Necrotic Manifesto takes them back towards the modern sound of The Archaic Abattoir and Strychnine.213. It's a sound that's not fully rooted in the band's razor sharp| technical blasting but it's not fully rooted in the chugging deathcore style either. It's a solid mix of the two styles and| despite a few glaring turds in the pile| The Necrotic Manifesto is a decent addition to Aborted's discography.Written for The Metal Observer.
59,73,Back to the Future Part IV: Retrogore,0.8,Depending on who you talk to| Aborted can be classified as either brutal death metal or death metal| however| I like to think of them as brutal death metal. For one| the album of topic today| Retrogore| is by far a brutal death metal album. This thing drills away at your brain for almost all of it’s 50 minutes with blast beats| insane vocals by the very distinguishable Svencho| and guitar solos that I’m not even sure are humanly possible. However| I digress.Aborted| for lack of a better term| are such a cool band. I always have looked forward to their releases because they’re very intriguing and appealing. The artworks are colorful and well-thought-out| the themes of the albums are always interesting| and the way the material is presented can make even non-metal listeners check out what they have to offer. In the case of Retrogore| the theme is nostalgia| mad scientists| and of course: gore. When you start the album| you’re greeted by some grainy elevator music that sounds like the background music for an 80’s Cheerio’s commercial. It really sets the mood perfectly for the absolute crusher that is the title track. It feels like an abrasive punch when “Retrogore” kicks in with all instruments on 11. The song is structured similar to other Aborted songs| with a blinding fast guitar section followed by a low-tempo chorus guaranteed to send you into a self-frenzied mosh. However| something seems different here. Their last offering| The Necrotic Manifesto| was pretty boring in my opinion. Svencho and Co. must have been feeling pretty similar because the first half of this album is filled with awesome guitar hooks| macabre recordings of evil science experiments| and a lot of tempo changes. “Termination Redux” has some addictive galloping guitar parts and a changing chorus section which is definitely a unique standout on this album. However| my gripe with this album came after about the 6th or 7th track. It just sounded like one big song to me| similar to Serpents Unleashed by Skeletonwitch not musically but structurally. By no way did the instrumentation or energy die down| I simply was retro-bored. My favorite song on the album is “Bit By Bit” because of it’s shear heaviness. The chugging is palpable and the chorus had me singing along with Svencho and really pumped me up.Lyrically I have nothing bad to say about this album. Svencho really is a terrific vocalist and his growls are among the most unique in extreme music. They are very guttural and sound indistinguishable from his performance on The Necrotic Manifesto. I really enjoyed this lyrical bit from “Cadaverous Banquet” where Svencho pays tribute to what seems a more twisted profile of the iconic villain “Leatherface” from “The Texas Chainsaw Massacre” or more likely an embodiment of serial killer Ed Gein:“Your body is mine for the takingShot thrice| cranium excavatedDelusional armour| your cadaver my shrinePleasure holes depravedBy the relentless thrust of my blade”These are great gorey lyrics that really paint a picture of the madness Aborted bring with their music.TL;DR: Aborted deliver a great addition to their discography with a fun| interesting| brutal record that’s filled with enough surprises and lore to keep anyone interested| to a degree.Originally written for www.qjukebox.com
60,75,good aussie death,0.8,this is a decent debut album from Abortus. it was self released so the production and art work isnt outstanding but hey its death metal not power metal its ment to grind! my major problem with the album is its length| it runs for just under half an hour. i like my albums to go for about 45 minutes at least but that aside if you are looking for some good Australian death metal these are the guys to check out| after recently touring Europe after getting a record deal (masacare i believe?) they are one of our forerunners at the moment. the songs on this album are all solid with some catchy rhythms and plenty of energy to get your blood pumping| i recomend it to any death metal fan.
61,77,Roaring thunder from down under,0.8,"The Australians have always managed to put interesting spins on already existing heavy metal genres| perhaps some of the best examples include Disembowelment's ""Transcend the Peripheral"" which made everyone stop and rethink how the genre of death/doom could possibly be done. Not sure exactly what was going on down there during the 1990's| but that band was not alone in finding ways to tinker with an established formula for extreme music.Enter stage left| Abramelin. Named after the Egyptian mage who appeared in a book by the same name (this was back when bands didn't need complex names| they just picked something that sounded pretty cool|) these Aussies laid forth a chunk of brutal death metal in 1995. Around that time| the established sound of the Florida scene and even in other areas such as Sweden had begun to morph into something else as bands attempted to prevent stagnation. One such new avenue of creativity was to simply get heavier| louder| and more punishing| and by those standards Abramelin's self-titled debut delivers on every level.Don't get me wrong| this is not an album that is easy to like early on| as goes with alot of recordings of its kind. The compositions have a tendency to go in unorthodox directions at times| a little unncessary drumming here or maybe some unexpected twist there. Parts of this album can be downright ugly| thus making it even harder for the average fan to absorb. This all said| songs like ""Spiritual Justice"" and ""Misfortune"" deliver the goods with straight forward pummeling that is akin to have brain surgery performed on you with a jackhammer and no anathesia. Elsewhere| the band shows a bit of ambition| such as the two ""Stargazer"" songs| but even then this rarely leaves the realm of unapologetic brutal death.Sadly for these guys| it would be the only album of theirs that got much attention at all| and even then it wasn't much. They only released one album after this| the inferior ""Deadspeak"" before collapsing sometime in 2002 or so| never to be heard from again. Some members formed The Beserker| a band I've never been particularly fond of. So| as it stands| Abramelin gave us one album to revel in| even its hardly an easy listen the first couple of times through."
62,78,Another masterpiece from Down Under,0.83,I have to admit that it’s been far too long between buying| and reviewing| this little Australian gem.For those unfamiliar| Abramelin is a project from Australia that was mistreated – undergoing a ridiculous amount of line-up changes| instability and such| when the music was quite good. The music in question| is a tribute to old-school straight-up death metal| but with hints of melody and even a slight groove. Audible vocals that| with a lyrics booklet| can actually be deciphered| also a pleasant change from the usual overly guttural vocals in death metal.The story goes that Abramelin| somewhat of a supergroup| released an album that was| at the time| the pinnacle of DM. Extremely offensive lyrics resulted in the album being pulled from the stores in most states. This only served to fuel the desire and publicity| and the band became immensely popular in the underground. Facing a big challenge with only two members used to record on this album| Simon Dower on vocals| and Tim Aldrige on instruments| after four years| “Deadspeak” was released and it is superior on every level to the one that got Abramelin their career start.The technicality| whilst still retaining its firmly old-school roots| has advanced hugely on this release. The guitar work is less straight forward chords and has become much more tremolo-based picking| but still not the “hyper-fast” which| while good in some cases| I imagine wouldn’t really fit Abramelin’s music.Guitar solos on the album deserve their own section. The soloing is just incredible. It’s quite simple for solo work| but it’s beautifully melodic| and effective. It’s done with precision| yet without self-indulgent wankery. They’re impeccable really – just done so well| and the simple riffing that often accompanies it makes the experience even better. Listen especially to the solo on “Waste” and you’ll see what I mean.Lyrical matter is fairly filthy| as could be expected. Opening “Pleasures” is one of the most obscene songs ever written| surely! The written material is not for those with a weak heart or an easily upset stomach| but could we expect anything less from a band whose first album was pulled due to lyrical content?Another highlight is that for a death metal album| you’ll get lots of bang for your buck. There are only 7 tracks| but they are all very long| at least half of them beating the 5-minute mark – with the album clocking in at about 40 minutes. But very little of those 40 minutes are anything even close to filler| or undesirable to listen to.The absolute major standout track of the album is the epic album closer| “Plague”. This song is just one of the most brilliantly crafted and well-thought out songs ever written. Starting with an absolutely beautiful acoustic guitar and cello piece| “Plague” is a mid-tempo song| but it doesn’t take away from the intensity. It just has so many amazingly well written riffs that are catchy| ferociously violent| and groovy at the same time| most especially the one that starts at 6:32 – one of the best riffs ever written| and then when it gets a harmony added to it – just you try and not bang your head to it.Summing up| this album should be heard at any cost. Old-school gore| ferocity and violence has never collaborated with melody and beauty so well| and may never again.Points detracted for a slightly irritating drum machine| and some inconsistency in the quality of the music. But all in all| one of the best and most underground releases ever| by one of the least-known supergroups ever – just good luck to you trying to find it.Stand out tracks| starting with the best:PlaguePleasuresFlesh FurnaceYour Casualty
63,79,Noid's first listen.,0.7,General description in terms of genre: Progressive| Thrash-based Death Metal.Comparison smashing: Nothing really jumps out straight away| but after a few repeats| one notices similarities to the more straight-forward aspect of Strapping Young Lad| slower sections of Acid Bath| and a Meshuggah-esque vocal styling.How did I come across it?: Colleague presented me a copy for the purpose of this review.Lyrics and vocals: While it may not be intended| the theme most prevalent in the lyrics comes across as a source of anger caused by the desire for an instant karmic reaction to the general inconsideration shown towards others by the greater public. There are of course| other personal and social issues addressed| but they all seem to be centered around that already stated.The best way to describe the vocals would be to say that a type of semi-scream is used. Akin to the Meshuggah| and Devolved vocalists| there is much more voice involved| as opposed to the gurgle/rasp form of vocal distortion. Frequently| there is a definite indistinction between the inflections of each line.Drums: It's as though an anthology of all the typical| straight-ahead Thrash/Death beats has been not only presented in its basic form| but also publicised in a manner conveying just how to switch between them whilst incorporating Rock and Doom Metal influences. Blasts appear occasionally| throwing the more current wave of Grind into the mix for good measure. These are functional as bridges for the most part| and are never sloppy. Fills are a constant| but interesting in their own right because of their nature in pitch| rather than rhythm. Something here reminds me of Jimmy Kyle in the switching of dominance from each section of the kit throughout| which draws attention to the light cymbal work. The Strapping Yound Lad comparison was drawn by the tempo| and gallopping kicks.Bass: Tends to sit right up the guitar's arse with no real force or presence being contributed. This is partly due to the production. Really| it only serves to display the need for interplay. More conventionally| this is a second guitarist's realm of input| rather than the guitarist-playing-bass mode heard here. They have no problems keeping pace with the other members| although nothing noteworthy is being submitted.Guitar: Staccato| rhythmical riffing laden with quirky timing and choppy patterns. Impressive picking speed and harmonic progression are the secondary observations. No soloing as such| since most of the drive is derived from the rhythmic input.Production: (More often than not| this is the fatal point for many bands| but accounting for the fact that this was self-financed during a period of instability| I'll lower the bar a tad.)First point of note| is that overall| the mix is a bit thin. The drums have been captured almost perfectly| but everything is somewhat flat in regards to cymbals and snare as both don't really pierce. An extra layer of guitar appears to be required| mainly to separate the frequency ranges and emphasise technique| as well as adding to the attack. In doing so| the bass could be raised| and play more of a role. Without EQ manipulation| the high quality of recording is not self-evident. Despite this| the entirety is of a good standard| and better than expected from independent releases.Noid's verdict: For fuck's sake| somebody pick these guys up. I for one| am fucking sick of bands like Contrive| who add nothing whatsoever to the maturing process of the Metal genre in Australia| being heralded across the board| while those with the correct ethics are ignored. That said| I'm not suggesting that you achieve a state of inebriety and masturbate in a dark room to this album| or even stating that it will force you to sit back and take heed for that matter. What it WILL do is make you adjust your personal method of critique. I hate Thrash with vehemence| but this release captures that which should be retained within the particular sub-genre. Abrasion are only halfway towards successfully melding Death amongst it all however. Without a second guitarist| much of the aggression and technicality is repressed| especially when the bass is passive-passive for the most part| but what there is atones by not settling into the ultimately boring as fuck Swedish or Finnish melodic form; a la Soilwork| Darkane| and Children of Bodom. The most obvious point of contention immediately present to myself is the vocals. By no means do I require growling/rasping for enjoyment to be attained| but there is a certain lack of variety that unsettles me. The style itself is different enough| and that they're supplied in tangent with guitar is worthy of praise. These guys are onto a good thing here| of that I have no doubt| but I can not help feeling that some recognition from a decent label| coupled with the inherent networking and guidance| would expand the aural effect tremendously in the course of something as simple as bolstered spirits.Verdict in a single sentence: Favourable| yet lacking in key departments.
64,81,Grave offerings,0.7,Abscession are basically nothing else but straight up Swedish sounding death metal band (hailing from Germania though haha!). And yeah| I know that many of you will immediately start yawning from boredom when hearing a great number of the same sounding bands| with the same influences| style| etc. Yeah| I can understand that| but on the other hand I am so deeply infected with the Swedish death metal style that my tolerance for this music is very big. And I am not really bothered if band X sounds unoriginal and brings nothing new and if band Y sounds exactly the same as band X. It just doesn’t matter| as long as the music is good| then everything is fine. Obviously such bands and such albums will most likely perish unnoticed and will never get a status of “classics” or something “timeless”. But diehard collectors will be always be coming back to them| I guess. How’s that related to “Grave Offerings”? Well| as mentioned before| this is not an album that will bring anything new or extraordinary. It is not an album that will get a wide recognition. Finally| it surely it not an album that goes above the average quality of the current new wave of old school death metal. As such| it is solid| but actually pretty mediocre. Which doesn’t mean it’s bad or something.Starting with what I like the most about “Grave Offerings”| it would surely be the catchiness of this album. Damn| it is very memorable and easily listenable. Already since the first spin you will know some of these riffs or melodies and they’ll come back to you fast. The album plays smoothly| it’s so damn easy to listen to that you almost doesn’t realize when it’s over and you wanna play it again. Obviously there are some very strong riffs| some great moments… and well| I surely like those more aggressive ones the most (with songs like “Where Sleeping Gods Dwell”| “Gargoyle” and “Freshly Dug Graves”). Abscession digs the tomb of Swedish death metal and brings sometimes quite worn out| clichéd riffs and arrangements| but I like it anyway and listen to this CD with a pleasure. But yeah| it’s a double edged sword and for many listeners this will be the case “oh| I heard it way too many times before| too many times in better performance”| etc. I agree. But the whole performance of Abscession on “Grave Offerings” is as solid as it can be from a debuting underground band and I see no reason why fans of (Swedish) death metal should not like this. This album has many hooks| many nice melodic pieces| some great aggressive parts| and it’s simply good.I need to point out that two songs come quite different from the rest of the material. First| the closing song “Downfall Pt 1” is a kind of ten minutes long monster| which you can divide into two parts. First one is pretty standard Swedish death metal but the second goes into very doomy| epic sounding style that may remind you some slower Hypocrisy songs mixed with a bit of Edge of Sanity| with piano and even clean vocals used. I even enjoyed it| but to be honest I was not so much convinced about all these pianos and clean vocals. Another of the two songs and the one which I prefer more is “In My Coffin”| which is very doomy| but at the same time it’s so damn heavy and vicious. And in this case I’m not even bothered about the clean vocals that appear in this song haha! No| this is very| very good song. I can compare it to Bloodbath a lot| they used to have quite few similar songs on their early albums!So| all in all| a decent debut from Abscession. It’s already been almost two years since “Grave Offerings” and it looks like it didn’t get that much recognition| what can prove me right that it’s a solid album| but also “one of many”. I enjoyed it| some more fans of Swedish death metal will also. Everybody else who are more of the moaning type of listeners should get something else and not waste their time.Standout tracks: “Where Sleeping Gods Dwell”| “Gargoyle”| “In My Coffin”| “Freshly Dug Graves”Final rate: 70/100
65,81,Awesome Swedish death metal newcomer,0.89,Review originally published at www.teethofthedivine.com by E.Thomas.I’m pretty sure that 2014/15 has been the strongest year for the Swedish Death metal revival movement since the genre reignited back in 2008/09. And its just not bigger names like Bloodbath| Entrails| Feral| Just Before Dawn| Puteraeon |Revel in Flesh| Usurpress| Brutally Deceased| Wombbath or dusted of compilations and of ‘lost classics’ like Goddefied| Sorcery and Festerday. New| fresh| often obscure hungry bands are crawling from every corner of the world and delivering the goods as bands like Bottlekopf| Hereza| Wreckage| Unwilling Flesh| Come Back From the Dead| Carnation | Cult of Endtime| Skelethal| Mass Burial| Austerymn| Smothered| Disrupted| Infected Chaos| Morbid Vomit and many others have risen from the Grave and kicked all kinds of ass.At the top of the latter list| is Swedish new comers Abscession and their debut| Grave Offerings| released earlier this year on fledgling Final Gate Records (also home to the equally kickass Carnation)| but only now finding its way to my ear| and might be the best of the bunch of the newcomers. Comprised of guys from bands I have not heard of like Throne of Heresy| Zombie Destrüktion| Die| Putrescent Secretancy | Aphelionand Cascade| this collective has come together to deliver absolutely one of the better Grave/Entombed/Dismember worships I have heard lately. And as you can tell from the opening overly name dropping paragraph I have heard a lot.Everything you’d expect from the genre is here| importantly that mid range guitar tone is spot on (mastered by Dan Swano)| deep| buzzing and reverb laden along with a thick bass and gruff powerful vocals| you know the sound. However| what sets these guys apart is the songs. These guy absolutely have that ‘it’ factor when if comes to delivering catchy| raucous| romping Swedish death metal gallops. Dare I say| there is even a bit of playful/fun factor to many of these canters despite the usual dark. death metal themes. For example| the opening duo of “Where Sleeping Gods Dwell” and “Gargoyle” contain two of the albums best cuts with big beefy| but in credibly catchy riffs| with “Gargoyle” (along with Mass Burial‘s “Its a Zombie”) arguably being one of my favorite songs of the genre in recent memory.And the rest of the album isn’t chopped liver| all 10 tracks just deliver on a near perfect level. Whether its the slow burn of “In My Coffin” | the Hail of Bullets styled rumble of “Cabin 13”| snarling chug of “Plague Bearer”| more uptempo blast of “Engorged With Gore” and such| all are top notch and up there with the Bloodbaths and Entrails of the genre And what really helps the material is the number of nice solos from Niel Anilao| who gives track like “The Ruiner” some real flair atop the standard Stockholm burl. Then there’s the moody 10 minute closer| “Downfall part 1”| which features a piaon and clean vocal break about halfway through| to show the bands more progressive side. I cant wait for part 2.Grave Offerings is yet another outstanding addition to a scene that shows no signs of letting up| and the quality seems to be as amazing as the quantity| and I’m drinking it all up!
66,87,Good (new+old) school death metalliqe,0.87,"A couple of weeks ago there was a concert in a little town somewhere in Bavaria where the band of a few friends played and apart from them| I wasn't expecting anything too interesting or overall anything I would like. I sure was surprised when these dudes stepped on stage or should I say when they started playing. Absorb have been around quite some time now (1989)| but it seems they have been having trouble releasing/recording/writing stuff since they only have a couple of demos and a Legacy 4-way split flying around| with the exception of their 2010 (!) album ""Dealing With Pain"". So when their show was over I asked one of the dudes if I could have a CD for a review and here it is.After putting this thing in my cd player| I was really amazed to hear a really cool| slightly fuzzy production that really reminds one of the old days of old school death metal. Yeah it's mushy| its dirty| and intense. It basically fulfills every cliché you know or heard about old school death metal; it's groovy| downtuned| aggressive as fuck| and smashes you with fast-paced punk-like rhythms and doomy chuggy riffs. I'm not sure where this album was recorded| but as far as the production goes they did an overall good job since no instrument is mixed too loud or too thin. The sound| however| is a little damped down| but it's not really a problem in this case. ""Dealing With Pain""'s songs are very similar in approach| but since you want to hear a decent coherent death metal album and not a single collection of your favorite pop band| this is a good thing. I really like the singer's vocals on this one as I've liked them live. He manages to bring a lot of volume to his voice and sounds really pissed. Now ""singing"" in death metal (or any other extreme genre) can be a very difficult thing since| for an ""outsider""| everything seems to sound monotonous| but for a connoisseur| each and every grunt has it's own flavor. This dude really does that magical thing that can be heard in the ranks of bands such as Entombed or Dismember| an aggressive grunt with a raspy tone to it.Generally| if you like straight balls out death metal| then you should give this a listen since it rocks. If you are on the lookout for that special obscure| yet old school gem that you don't have yet| go get this album. Yeah it may be a couple of decades too late| but it's always better late than never. I really wonder where these guys would have gone on the cult totem if they released more stuff back in the day. Give it a try."
67,90,A phenomenal debut,0.97,"There are a few bands today that deserve so much praise| and Abysmal Dawn are one of those few bands. They deserve to be among the high ranks of death metal gods such as Suffocation| Gorguts| Obituary| Death and Carcass to name a few. This album is very inspiring and has a lot of heavy melodic brutality to it. I'm surprised that there aren't multiple reviews for this album| considering how true it is to the death metal scene. There is nothing stupid| bad or cheesy about this album. A lot of effort was put into it. The production is good| everything sounds good| and I like the atmosphere that the band was able to create. Abysmal Dawn are original and have a distinct sound like no other. I can't think of any flaws except that there are a couple recycled| bland riffs| but that's about it. The vocalist/lead guitarist/songwriter| Charles Elliott| shows good musicianship with cool harmonic minor lead guitar work and heavy riffs accompanied by his incredible songwriting ability and a powerful voice. His growls are brutal| and his high shrieks are sick| and it fits well with the music. He's one of my favorite vocalists| and his voice puts the lame deathcore and metalcore vocalists to shame. Not only does he make great metal music| but he even looks metal.I like the feel that the band was able to create with the solos and melody. Terry Barajas did an excellent job on the drums| giving a good sense of purpose to them that I really enjoyed| and I'm a guitarist. I liked the drums a lot| they have a good pace to them with a proper amount of double bass and awesome| sheer brutality fills. The other guitarist| Jamie Boulanger| did a good job displaying his soloing capabilities. The solos are excellent| with a middle eastern sound to it| props to the harmonic minor scale that he uses just like Charles| as I've mentioned before. Much respect to these musicians| they play their instruments well. For being a straight up death metal band| they got a lot of creativity and I never got bored listening to this album| which is something that great albums possess.It's hard to say which track is my favorite| cause they're all great. ""In The Hands Of Death"" is a killer track after the instrumental ""Impending Doom"" and ""Blacken The Sky"" is a good melodic heavy song. ""Salting The Earth"" and ""Servants To Their Knees"" are the most brutal tracks on here in my opinion. All of the tracks on here kick ass. Some of them are technical too| but not to the point where it takes the heaviness and brutality away. If you're looking for a new band to get into| especially if you're looking for some fresh| original kick ass death metal| then I recommend you to get this album| you won't be disappointed. It is the best modern death metal release and one of the best I've ever heard. I stand strong with this album and band. No poser bullshit with this band whatsoever."
68,90,Not bad| not great,0.79,"Admittedly| I am a sucker for generic Brutal Death Metal. Abysmal Dawn is one of those bands that do absolutely nothing different| yet plays the style so competently that there isn't much to complain about. Of course| there are the Human Filleted type of bands (the kind that rip off Suffocation to the point of tedium)| but I find that bands like this one can usually play with enough ferocity and intensity to make me overlook the obvious similarities.Most of these songs follow the same basic idea and contain the same basic ingredients| but the band bakes such a damn fine cake that I really wouldn't ask for much else. Every song contains a Suffocation-style groove at some point| the low vocals are reminiscent of Mads Haarløv while the higher ones remind me somewhat of a higher David Vincent| and the drumming is a nice Pete Sandoval-type mixture of relentless blast beats and tasteful fills. If there is anything that helps set Abysmal Dawn apart from the hordes of similar bands| it's that there is a slight modern tinge in the riffage. It's kind of hard to explain| but there is a certain latent groove underneath the typical Death Metal riffs that reflect the current time somewhat. Listen to the opening of ""In the Hands of Death"" or the middle section of ""State of Mind"". This actually doesn't hinder the music that much| and they can usually pull it off rather well| but the similarity to them and some of the riffs on Black Dahlia Murder's first album are rather striking.The biggest problem here though| is repetition. There is no denying that they know what they are doing| and are certainly a competent group of musicians| but I'm just not so sure about their writing abilities. None of these songs suck| but ""Salting the Earth"" uses a riff damn near identical to the first one of ""In the Hands of Death"". The similarity to Black Dahlia Murder hits home once again here| when you realize that a majority of these riffs are just reworked versions of the first few. This could be a sticking point for some| but for me it's just a minor point of contention. I would usually say that hopefully the band could improve on the next record| but Abysmal Dawn's newest album| Programmed to Consume fell victim to the trend of becoming more and more technical| thus sacrificing songwriting in the process. So From Ashes may well end up being the band's finest hour| and it's an acceptable| if derivative| slice of Death Metal.Originally written for www.metalcrypt.com"
69,91,It's Alright...,0.68,"And that's all this album is| really. It's alright| its okay| and it's very standard. Every riff on here| every groove| every drumbeat| and every growl...is standard and kind of nonexistent. Now| I was given this album by a friend to listen to| and I only had a little amount of interest when I recieved it in a trade. The first few listens ended with me dissatisfied| I didn't even care that I had used up forty minutes of the day; it just seemed like another album. And that's where this album falls down on its face. As I've said about five times already| this album is standard technical death metal. Although the band can write a good riff (see: intro to 'Twilight's Fallen' or 'Grotesque Modern Art')| they seem content with pedal point riffs that don't do much for the song or for the album| either. The guitars are tuned low (B| I think) to give it a bit of chunk because I don't think this album would sound heavy without the heavy detuning| and the guitars have this airy| modern sound that really gets on my nerves. I'm a huge fan of those old South American buzzsaw tones| and this is about as far away from those as possible. The riffs| as I said before| either consist of pedal points| technical idiocy| or the occasional really good death metal riff. The bass is absolutely nonexistent. I've heard later-era Slayer albums with more bass presence. It's sad| really. The drums are competent for a modern technical death metal release. What I mean by that| is that you get your helpings of blast beats| huge double bass fills and patterns| and rolls from hell. Now this is fine and dandy| but this permeates the album with a feeling of ""look at me guys"". The vocals are most definitely the highlight here. Really| Mr. Elliot is a phenomenal vocalist in all categories. His lows have a gurgle and power that remind of Mikael Akerfeldt| but a bit lower and a little less powerful| and his highs have this airy| but weak| quality to them. One issue I have with this album's vocals| is they all sound detuned in the studio| as if Charles can't go this low. He might be able to| but it just feels automated and processed.And| here is another issue. The production; I am a firm believer in analog recording| and especially cheap analog recording| and production like this album is just irritatingly clean. It feels as if robots are playing this album| but not in a group| as if they all have their own rooms and everything is handled with a stupidly mechanical feel.So| overall| the album is weak in the instrumental aspect| production aspects| and songwriting aspects| but strong in the vocal and lyrical categories. I don't recommend this for anyone| unless you really like modern tech death with a sheen so bright| you'll blind yourself."
70,91,A step into old school death metal,0.82,"Abysmal Dawns' latest release Programmed to Consume seems to take a step back to the beginning of death metal| with the intense thrashy riffs and blaring blast beats this album gets you pumped.The album opens up with the title track ""Programmed to Consume""| using some static and a deranged voice panning left to right and back again to give this apocalyptic feeling right from the start. At the end of this strange message you get the hear the power of the drums| the guitars| and something else| Elliot's vocals. They are nothing short of amazing switching it up from the low growls to these powerful highs which have some clarity to the pronunciations. There are a good amount of memorable tracks on this album i.e. Twilight's Fallen| Grotesque Modern Art| and this beautiful instrumental aeon Aomegas. Twilight's Fallen starts off with a catchy rhythm to it. It gives the drummer a chance to do more than the standard blasts and double bass. The chorus also features some nice backing vocals from Jacob Enfinger of Reciprocal| giving a strong foundation for the song.Now as I mentioned above aeon Aomegas is one of the most memorable tracks on Programmed to Consume. It lets Jamie Boulanger step into the spot light a bit| being that Elliot plays the majority of solos on the album. It shows that Abysmal Dawn does have some great writing talent. aeon Aomegas would have to be the most creative song on the album| given its not the most creative album|(but hey who cares it still sounds great)| the acoustic guitar| and rolling thunder in the background gives this song a nice dark feeling to it that leaves the listener in a pleasant awe by the end.So anyways Abysmal Dawns' Programmed to Consume does deserve a listen. I'm happy to have this in my collection| and hopefully they have more to come."
